Date (GMT),Open,High,Low,Last
2015/8/7,38400,38600,38000,38300
2015/8/10,38300,38620,38150,38340
2015/8/11,38560,39960,38560,39480
2015/8/12,39010,39650,38960,39290
2015/8/13,39880,40150,39500,39710
2015/8/14,39540,39730,38990,39560
2015/8/17,38580,39650,38580,39190
2015/8/18,39000,39270,38980,39130
2015/8/19,38870,38970,38390,38700
2015/8/20,38660,38990,38540,38760
2015/8/21,39180,39380,39030,39160
2015/8/24,39060,39090,37880,38500
2015/8/25,38240,39240,38080,38840
2015/8/26,39500,39770,38930,39310
2015/8/27,38790,39140,38400,38880
2015/8/28,39010,39870,38960,39440
2015/8/31,39360,39730,39190,39400
2015/9/1,39210,39640,39100,39390
2015/9/2,39200,39460,39150,39240
2015/9/7,39260,39560,39260,39440
2015/9/8,39610,39640,39420,39550
2015/9/9,40200,41500,40120,40870
2015/9/10,41250,41260,40820,40970
2015/9/11,41150,41300,41090,41160
2015/9/14,40920,41200,40700,40980
2015/9/15,40700,40710,40280,40620
2015/9/16,40420,41010,40420,40680
2015/9/17,41010,41410,40830,41090
2015/9/18,40960,41230,40730,40890
2015/9/21,40430,40590,39930,40200
2015/9/22,40460,40540,39990,40180
2015/9/23,39460,39460,38360,38800
2015/9/24,39020,39310,38710,38940
2015/9/25,38750,39260,38630,39050
2015/9/28,38980,39150,38400,38830
2015/9/29,38150,38330,37880,38030
2015/9/30,38260,38830,38090,38310
2015/10/8,39600,39700,39140,39410
2015/10/9,38190,40340,38190,39700
2015/10/12,40380,40400,40050,40180
2015/10/13,40200,40200,39620,39750
2015/10/14,39670,39970,39650,39750
2015/10/15,39860,40150,39620,40050
2015/10/16,40060,40160,39520,39900
2015/10/19,39600,39800,39340,39550
2015/10/20,39160,39390,39010,39180
2015/10/21,39320,39450,38920,39100
2015/10/22,38970,39470,38820,39170
2015/10/23,39500,39820,39330,39540
2015/10/26,39640,39700,38860,39160
2015/10/27,39180,39460,38880,39120
2015/10/28,39320,39390,38920,39110
2015/10/29,38810,39370,38690,39090
2015/10/30,38970,39030,38680,38800
2015/11/2,38770,38850,38510,38620
2015/11/3,38590,38760,38500,38650
2015/11/4,38560,38900,38400,38720
2015/11/5,38710,39110,38300,38650
2015/11/6,38100,38320,37960,38060
2015/11/9,38010,38160,37700,37930
2015/11/10,37800,37880,37230,37470
2015/11/11,37440,37570,37200,37360
2015/11/12,37400,37430,37200,37290
2015/11/13,35990,36650,35990,36430
2015/11/16,36000,36340,35800,36150
2015/11/17,36120,36220,34560,35200
2015/11/18,35360,35440,34520,34940
2015/11/19,34950,35100,34300,34720
2015/11/20,34690,35190,34480,34820
2015/11/23,35090,35130,33350,33990
2015/11/24,33580,34090,33300,33630
2015/11/25,33780,34950,33710,34510
2015/11/26,34270,36070,34190,35120
2015/11/27,35180,35650,34860,35240
2015/11/30,35280,35350,34460,34830
2015/12/1,35050,35400,34740,35140
2015/12/2,34600,35510,34600,35310
2015/12/3,34990,35430,34650,34910
2015/12/4,34840,35140,34670,34820
2015/12/7,34970,35590,34910,35410
2015/12/8,35270,35370,34900,34990
2015/12/9,34970,35330,34820,35190
2015/12/10,35350,35530,35200,35280
2015/12/11,35220,36300,35210,35580
2015/12/14,36090,37320,36070,36360
2015/12/15,36300,36550,35700,36240
2015/12/16,35580,35750,35350,35530
2015/12/17,35530,35820,35220,35530
2015/12/18,35210,35890,35190,35510
2015/12/21,36020,36350,35850,36100
2015/12/22,36260,36640,36190,36390
2015/12/23,36330,36500,36000,36280
2015/12/24,36400,36570,36260,36410
2015/12/25,36190,36510,36180,36390
2015/12/28,36470,36570,35900,36240
2015/12/29,35900,36490,35900,36120
2015/12/30,36400,36890,36400,36650
2015/12/31,36250,36840,36250,36740
2016/1/4,36610,36720,36120,36270
2016/1/5,36200,36720,35580,36330
2016/1/6,36700,36720,36310,36450
2016/1/7,36270,36700,36160,36380
2016/1/8,36010,36350,35550,35940
2016/1/11,35890,36030,35010,35510
2016/1/12,35010,35330,34800,35060
2016/1/13,34890,35050,34740,34870
2016/1/14,34040,34940,34040,34730
2016/1/15,34850,35100,34510,34900
2016/1/18,34540,35170,34500,34890
2016/1/19,34920,35500,34800,35130
2016/1/20,35320,35410,34950,35110
2016/1/21,34960,35210,34810,35000
2016/1/22,34930,35340,34880,35170
2016/1/25,35320,35330,34910,35020
2016/1/26,35000,35140,34840,34990
2016/1/27,35320,35700,35220,35480
2016/1/28,35560,35820,35470,35610
2016/1/29,35500,35650,35390,35500
2016/2/1,35540,35680,35220,35390
2016/2/2,35320,35500,35220,35410
2016/2/3,35550,35550,35210,35330
2016/2/4,35400,36230,35400,35920
2016/2/5,36110,36570,35900,36030
2016/2/15,35560,35570,33820,35420
2016/2/16,35600,35900,35540,35700
2016/2/17,35710,35800,35400,35550
2016/2/18,35530,35720,35490,35600
2016/2/19,35650,35920,35440,35640
2016/2/22,35750,36240,35600,35980
2016/2/23,36270,36400,36000,36140
2016/2/24,36130,36140,35620,35860
2016/2/25,35710,36150,35590,35950
2016/2/26,35900,35960,35500,35710
2016/2/29,36000,36440,35570,35910
2016/3/1,35980,35980,35500,35720
2016/3/2,35940,36650,35830,36270
2016/3/3,36550,36800,36500,36650
2016/3/4,36820,37630,36700,37210
2016/3/7,37540,38690,37330,37810
2016/3/8,38020,38200,37200,37470
2016/3/9,37500,37500,36640,36860
2016/3/10,37070,37300,36970,37050
2016/3/11,36710,37390,36710,37110
2016/3/14,37380,37730,37130,37450
2016/3/15,36620,37250,36620,36940
2016/3/16,37070,37470,36980,37230
2016/3/17,37330,37810,37240,37620
2016/3/18,37730,38530,37710,38190
2016/3/21,38180,38640,37800,38060
2016/3/22,38070,38280,37940,38080
2016/3/23,38030,38260,37930,38110
2016/3/24,37970,37970,37350,37510
2016/3/25,37450,37720,37310,37580
2016/3/28,37690,37770,37430,37630
2016/3/29,37490,37940,37420,37620
2016/3/30,37510,37570,36930,37270
2016/3/31,37000,37260,36710,36840
2016/4/1,36840,37120,36740,36980
2016/4/5,36680,36840,36550,36680
2016/4/6,36560,36760,36560,36690
2016/4/7,36580,36830,36580,36710
2016/4/8,36370,36370,35680,35870
2016/4/11,35720,36060,35720,35890
2016/4/12,35830,35970,35640,35810
2016/4/13,36000,37090,36000,36710
2016/4/14,36850,36920,36610,36690
2016/4/15,36820,36900,36560,36780
2016/4/18,36620,37000,36540,36770
2016/4/19,36570,37100,36570,36860
2016/4/20,36960,37650,36890,37320
2016/4/21,37400,38090,37280,37680
2016/4/22,38220,38430,37360,37820
2016/4/25,38080,38870,37780,38130
2016/4/26,38020,38070,37420,37690
2016/4/27,37590,37800,37430,37590
2016/4/28,37560,37630,36950,37160
2016/4/29,37250,37630,37080,37430
2016/5/3,37550,37800,37310,37470
2016/5/4,37700,37700,37060,37140
2016/5/5,37090,37250,36760,36880
2016/5/6,36700,36800,36300,36470
2016/5/9,36430,36770,35720,36030
2016/5/10,35840,35940,35610,35790
2016/5/11,35860,35900,35610,35780
2016/5/12,35810,36270,35700,35960
2016/5/13,36160,36250,35100,35310
2016/5/16,35300,36460,35000,35270
2016/5/17,35530,35890,35470,35710
2016/5/18,35700,35890,35280,35540
2016/5/19,35240,35600,35090,35320
2016/5/20,35190,35400,34830,35240
2016/5/23,35410,35530,34870,35110
2016/5/24,35170,35330,35010,35190
2016/5/25,35420,35650,35280,35500
2016/5/26,35680,36030,35600,35830
2016/5/27,36030,36150,35580,35810
