Date (GMT),Open,High,Low,Last
2015/9/9,14800,15030,14800,14935
2015/9/10,14975,14995,14900,14945
2015/9/11,14880,14950,14870,14895
2015/9/14,14920,14920,14775,14830
2015/9/15,14530,14600,14350,14510
2015/9/16,14310,14515,14310,14440
2015/9/17,14495,14580,14420,14495
2015/9/18,14430,14500,14385,14435
2015/9/21,14355,14355,13710,13870
2015/9/22,13810,13825,13560,13655
2015/9/23,13610,13740,13480,13620
2015/9/24,13755,14000,13635,13790
2015/9/25,13845,14045,13740,13865
2015/9/28,13725,13815,13645,13725
2015/9/29,13600,13685,13530,13595
2015/9/30,13765,14480,13695,13820
2015/10/8,14440,14440,13830,13905
2015/10/9,14200,14480,13835,14245
2015/10/12,14730,14890,14600,14715
2015/10/13,14720,14720,14550,14620
2015/10/14,14670,14670,14580,14610
2015/10/15,14650,14710,14600,14665
2015/10/16,14590,14645,14435,14540
2015/10/19,14440,14570,14315,14430
2015/10/20,14300,14360,14220,14285
2015/10/21,14335,14440,14265,14315
2015/10/22,14225,14240,13935,14075
2015/10/23,14225,14345,14055,14210
2015/10/26,14320,14320,14095,14190
2015/10/27,14180,14310,14150,14215
2015/10/28,14235,14255,14135,14200
2015/10/29,14000,14270,14000,14170
2015/10/30,14090,14125,13760,13920
2015/11/2,13805,13850,13710,13795
2015/11/3,13755,13850,13720,13800
2015/11/4,13665,13840,13620,13740
2015/11/5,13820,13850,13610,13710
2015/11/6,13585,13620,13500,13550
2015/11/9,13525,13630,13520,13580
2015/11/10,13600,13600,13130,13320
2015/11/11,13200,13210,12830,12945
2015/11/12,12825,13135,12815,13030
2015/11/13,12940,13110,12920,13020
2015/11/16,13040,13070,12890,13035
2015/11/17,12970,12975,12550,12710
2015/11/18,12745,12840,12400,12535
2015/11/19,12500,12535,12020,12275
2015/11/20,12115,12700,11915,12285
2015/11/23,12665,12840,12195,12490
2015/11/24,12480,13015,12380,12665
2015/11/25,12910,13175,12800,12955
2015/11/26,12855,13600,12795,13260
2015/11/27,13305,13475,13000,13230
2015/11/30,12995,13070,12835,12970
2015/12/1,12980,13040,12850,12960
2015/12/2,12910,13050,12760,12880
2015/12/3,12745,12880,12675,12725
2015/12/4,12710,12810,12660,12755
2015/12/7,12820,12960,12760,12830
2015/12/8,12870,12870,12660,12705
2015/12/9,12615,12790,12615,12730
2015/12/10,12805,12880,12615,12725
2015/12/11,12650,12850,12600,12685
2015/12/14,12800,12880,12790,12830
2015/12/15,12820,12840,12550,12750
2015/12/16,12695,12765,12630,12690
2015/12/17,12665,12860,12520,12665
2015/12/18,12570,12725,12500,12620
2015/12/21,12735,12925,12635,12760
2015/12/22,12865,12970,12805,12875
2015/12/23,12860,12960,12740,12865
2015/12/24,12930,13150,12920,13045
2015/12/25,13005,13170,12980,13105
2015/12/28,13135,13195,12935,13075
2015/12/29,12935,13130,12910,13020
2015/12/30,13195,13400,13140,13305
2015/12/31,13205,13410,13205,13345
2016/1/4,13255,13255,13070,13140
2016/1/5,13100,13245,13085,13160
2016/1/6,13185,13185,12980,13045
2016/1/7,13035,13050,12800,12890
2016/1/8,12795,12930,12645,12795
2016/1/11,12860,12870,12675,12750
2016/1/12,12765,12765,12350,12555
2016/1/13,12400,12460,12360,12405
2016/1/14,12400,12580,12360,12480
2016/1/15,12585,12680,12450,12555
2016/1/18,12455,12735,12405,12610
2016/1/19,12635,12825,12610,12725
2016/1/20,12805,12820,12615,12730
2016/1/21,12690,12715,12560,12635
2016/1/22,12605,12805,12590,12730
2016/1/25,12820,12845,12640,12705
2016/1/26,12720,12780,12680,12720
2016/1/27,12800,13070,12800,12970
2016/1/28,13030,13030,12910,12985
2016/1/29,12935,13080,12860,12920
2016/2/1,13010,13130,12940,13040
2016/2/2,13080,13235,13080,13175
2016/2/3,13250,13385,13180,13290
2016/2/4,13380,13835,13380,13700
2016/2/5,13680,13680,13600,13625
2016/2/15,13650,13795,12700,13645
2016/2/16,13710,13770,13565,13665
2016/2/17,13635,13665,13455,13540
2016/2/18,13520,13590,13485,13540
2016/2/19,13545,13895,13525,13750
2016/2/22,13865,14215,13810,14080
2016/2/23,14190,14260,14000,14110
2016/2/24,14050,14050,13815,13935
2016/2/25,13890,14295,13865,14130
2016/2/26,14055,14070,13755,13895
2016/2/29,13905,14170,13900,14000
2016/3/1,14120,14120,13825,13980
2016/3/2,14090,14295,14005,14210
2016/3/3,14225,14320,14185,14260
2016/3/4,14310,14520,14300,14400
2016/3/7,14320,14625,14230,14355
2016/3/8,14380,14440,14030,14150
2016/3/9,14120,14120,13735,13865
2016/3/10,14085,14090,13875,13950
2016/3/11,13900,14050,13900,13955
2016/3/14,14040,14175,13950,14030
2016/3/15,14020,14040,13900,13950
2016/3/16,13925,14015,13770,13885
2016/3/17,13875,14120,13875,14020
